field,src,dst,p_src,p_dst,proto,attack,length [packet],length [bit]
TIMING,100.163.44.160,203.139.113.8,62112,80,6,"http://113.90.177.68:42614/i
",233,233
TIMING,109.196.225.86,203.139.121.234,52816,30303,6,"http://124.165.140.229:33353/mozi.a
",289,289
TIMING,109.58.252.70,203.139.121.234,30303,36694,6,"http://163.125.247.61:47975/mozi.a
",281,281
TIMING,116.58.147.90,203.139.121.234,44410,30303,6,"http://95.6.85.38:46635/Mozi.m
",249,249
TIMING,13.5.165.135,203.139.121.234,30303,59386,6,"http://58.252.203.238:50998/Mozi.m
",281,281
TIMING,130.85.161.127,203.139.121.234,30303,50356,6,"http://59.97.171.242:56761/Mozi.a
",273,273
TIMING,133.4.84.228,3.192.64.103,46154,443,6,"http://58.255.209.237:33368/Mozi.m
",281,281
TIMING,133.4.84.228,3.192.64.103,46172,443,6,"http://27.40.120.116:41865/Mozi.a
",273,273
TIMING,133.4.84.228,54.86.226.217,47052,443,6,"http://221.214.193.196:55705/Mozi.a
",289,289
TIMING,133.4.84.228,54.86.226.217,47066,443,6,"http://27.40.100.150:59537/Mozi.a
",273,273
TIMING,133.4.85.105,3.192.64.103,58396,443,6,"http://27.46.47.108:54317/Mozi.m
",265,265
TIMING,135.177.15.99,203.139.121.234,30303,49024,6,"http://123.17.231.240:50050/mozi.a
",281,281
TIMING,117.234.88.39,163.62.71.17,443,61585,6,"http://123.11.12.152:60800/i
",233,233
TIMING,135.177.98.249,203.139.121.234,50322,30303,6,"http://186.33.90.114:36680/Mozi.m
",273,273
TIMING,138.164.245.77,203.139.121.234,56993,30303,6,"http://182.124.150.105:44129/Mozi.m
",289,289
TIMING,139.196.243.33,203.139.121.234,44750,30303,6,"http://182.121.23.57:43309/Mozi.m
",273,273
TIMING,144.196.129.176,203.139.121.234,41568,30303,6,"http://123.9.112.149:51478/Mozi.m
",273,273
TIMING,145.225.239.255,203.139.121.234,56944,30303,6,"http://116.75.231.154:60170/Mozi.m
",281,281
TIMING,150.110.154.89,203.139.121.234,60830,30303,6,"http://125.44.205.29:34361/Mozi.m
",273,273
TIMING,163.62.139.80,52.6.59.118,56048,443,6,"http://125.41.102.132:42050/Mozi.m
",281,281
TIMING,163.62.23.51,223.0.148.122,63830,6003,6,"http://163.142.102.189:59369/mozi.a
",289,289
TIMING,157.236.202.192,203.139.121.234,30303,49428,6,"http://27.40.86.89:45539/mozi.a
",257,257
TIMING,168.247.233.24,203.139.121.234,52874,30303,6,"http://113.161.208.9:43942/Mozi.m
",273,273
TIMING,174.200.239.33,203.139.121.234,30303,51702,6,"http://115.62.26.49:55032/bin.sh
",265,265
TIMING,133.4.85.105,3.192.64.103,58420,443,6,"http://45.201.167.132:56767/i
",241,241
TIMING,133.4.85.105,54.86.226.217,54836,443,6,"http://113.88.243.22:43379/i
",233,233
TIMING,133.4.85.87,3.192.64.103,42020,443,6,"http://117.213.47.205:51041/i
",241,241
TIMING,18.26.229.200,203.139.121.234,30303,34958,6,"http://117.194.164.17:36648/i
",241,241
TIMING,180.160.22.11,163.62.38.66,443,63019,6,"http://27.6.243.92:56692/mozi.m
",257,257
TIMING,185.178.223.119,203.139.121.234,56610,30303,6,"http://brsbnp.com/eosmaxime/distinctionatus-5065788
",417,417
TIMING,180.160.22.11,163.62.38.66,443,63022,6,"http://kiuso.biz/nonquos/liberoimpedit-3863470
",377,377
TIMING,185.50.99.189,203.139.121.234,40828,30303,6,"http://220.114.25.101:40724/mozi.m
",281,281
TIMING,192.233.225.5,163.62.128.220,443,50571,6,"http://27.21.147.209:42069/Mozi.a
",273,273
TIMING,203.139.113.8,100.163.44.160,80,62112,6,"http://difi.in/pariaturlaboriosam/omnissimilique-5138013
",457,457
TIMING,202.243.42.57,126.160.7.168,443,62844,6,"http://42.230.25.201:44340/Mozi.m
",273,273
TIMING,203.139.118.176,89.168.39.139,56218,873,6,"http://brsbnp.com/eosmaxime/nemoesse-5147662
",361,361
TIMING,203.139.118.176,13.172.149.124,80,46464,6,"http://42.228.77.227:35231/Mozi.a
",273,273
TIMING,203.139.121.234,109.196.225.86,30303,52816,6,"http://ctic.icagi.sn/quiaofficia/enimnemo-5126859
",401,401
TIMING,203.139.121.234,109.58.252.70,36694,30303,6,"http://ctic.icagi.sn/quiaofficia/necessitatibusvoluptatibus-5158313
",545,545
TIMING,203.139.121.234,116.58.147.90,30303,44410,6,"http://ctic.icagi.sn/quiaofficia/dolorvoluptatem-5138060
",457,457
TIMING,203.139.121.234,13.5.165.135,59386,30303,6,"http://difi.in/pariaturlaboriosam/consequaturnon-5138060
",457,457
TIMING,203.139.121.234,130.85.161.127,50356,30303,6,"http://difi.in/pariaturlaboriosam/natusiste-5230868
",417,417
